11.634631,31.124310,44.575581,68.951645,"\\bki02\f\lumi\Project2\L1_1\L1_1_[47584,7989]-lumi.tif"
40.070354,53.154655,63.302185,88.727173,"\\bki02\f\lumi\Project2\L1_1\L1_1_[48119,7989]-lumi.tif"
2.068559,2.311168,2.938557,44.232338,"\\bki02\f\lumi\Project2\L1_1\L1_1_[48654,7989]-lumi.tif"
1.912283,2.104956,2.362432,14.037411,"\\bki02\f\lumi\Project2\L1_1\L1_1_[47048,8389]-lumi.tif"
20.330519,38.920845,52.204147,75.077286,"\\bki02\f\lumi\Project2\L1_1\L1_1_[47584,8389]-lumi.tif"
56.587364,68.552345,78.321861,101.096100,"\\bki02\f\lumi\Project2\L1_1\L1_1_[48119,8389]-lumi.tif"
6.891447,31.427814,50.950005,78.040054,"\\bki02\f\lumi\Project2\L1_1\L1_1_[48654,8389]-lumi.tif"
10.550550,20.783024,29.250359,50.717022,"\\bki02\f\lumi\Project2\L1_1\L1_1_[46513,8789]-lumi.tif"
22.014894,34.578400,46.224461,70.152641,"\\bki02\f\lumi\Project2\L1_1\L1_1_[47048,8789]-lumi.tif"
6.900721,12.051382,20.594561,50.363640,"\\bki02\f\lumi\Project2\L1_1\L1_1_[47584,8789]-lumi.tif"
27.147480,46.349552,59.751724,80.398621,"\\bki02\f\lumi\Project2\L1_1\L1_1_[48119,8789]-lumi.tif"
2.098726,2.738266,18.348625,61.390720,"\\bki02\f\lumi\Project2\L1_1\L1_1_[48654,8789]-lumi.tif"
23.467766,36.197720,47.394943,70.726044,"\\bki02\f\lumi\Project2\L1_1\L1_1_[46513,9189]-lumi.tif"
47.119125,58.153625,67.031876,89.252457,"\\bki02\f\lumi\Project2\L1_1\L1_1_[47048,9189]-lumi.tif"
18.143602,31.064489,42.175232,64.025200,"\\bki02\f\lumi\Project2\L1_1\L1_1_[47584,9189]-lumi.tif"
1.897729,2.087117,2.320596,25.135643,"\\bki02\f\lumi\Project2\L1_1\L1_1_[48119,9189]-lumi.tif"
33.637123,46.213951,56.966217,82.643539,"\\bki02\f\lumi\Project2\L1_1\L1_1_[46513,9589]-lumi.tif"
41.484436,53.621655,63.588772,87.600456,"\\bki02\f\lumi\Project2\L1_1\L1_1_[47048,9589]-lumi.tif"
10.278479,21.096132,32.191925,53.484138,"\\bki02\f\lumi\Project2\L1_1\L1_1_[47584,9589]-lumi.tif"
43.721386,56.138153,66.561920,91.239449,"\\bki02\f\lumi\Project2\L1_1\L1_1_[46513,9989]-lumi.tif"
42.877419,54.863853,64.846115,89.165314,"\\bki02\f\lumi\Project2\L1_1\L1_1_[47048,9989]-lumi.tif"
2.852446,13.375270,26.825531,53.459293,"\\bki02\f\lumi\Project2\L1_1\L1_1_[47584,9989]-lumi.tif"
40.776596,53.392376,64.078323,89.621017,"\\bki02\f\lumi\Project2\L1_1\L1_1_[46513,10389]-lumi.tif"
