         2999959 function calls (2905722 primitive calls) in 44.969 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    19616    0.007    0.000    0.007    0.000 optimize.py:114(__getattr__)
      436    0.007    0.000    2.275    0.005 _gaussian.py:29(gaussian)
    28816    0.007    0.000    0.007    0.000 {method 'pop' of 'dict' objects}
      763    0.007    0.000    0.146    0.000 _methods.py:134(_mean)
      488    0.006    0.000    2.220    0.005 _fitpack_impl.py:527(splev)
     1308    0.006    0.000    0.035    0.000 _ni_support.py:71(_get_output)
    27840    0.006    0.000    0.006    0.000 numeric.py:2163(_isclose_dispatcher)
     2410    0.006    0.000    0.009    0.000 numeric.py:1277(normalize_axis_tuple)
      488    0.006    0.000    0.008    0.000 stride_tricks.py:116(_broadcast_to)
     4142    0.006    0.000    0.012    0.000 copy.py:132(deepcopy)
      244    0.006    0.000    0.071    0.000 _minimize.py:42(minimize)
      872    0.006    0.000    1.822    0.002 filters.py:167(gaussian_filter1d)
     1205    0.006    0.000    0.018    0.000 numeric.py:1340(moveaxis)
      436    0.006    0.000    1.862    0.004 filters.py:220(gaussian_filter)
     1778    0.005    0.000    0.014    0.000 computeshift.py:164(<lambda>)
        1    0.005    0.005   44.969   44.969 alignmentset.py:93(align)
      244    0.005    0.000    0.009    0.000 linalg.py:482(inv)
      244    0.005    0.000    0.042    0.000 {built-in method scipy.optimize.moduleTNC.minimize}
     1441    0.005    0.000    0.159    0.000 iostream.py:197(schedule)
      488    0.005    0.000    0.026    0.000 linalg.py:2316(norm)
    42552    0.005    0.000    0.005    0.000 fromnumeric.py:1689(_ravel_dispatcher)
    28778    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
    14861    0.004    0.000    0.005    0.000 {built-in method builtins.next}
    18630    0.004    0.000    0.004    0.000 fromnumeric.py:3338(_std_dispatcher)
     1165    0.004    0.000    0.012    0.000 {method 'any' of 'numpy.generic' objects}
      109    0.004    0.000    0.233    0.002 overlap.py:36(getinversealignment)
      360    0.004    0.000    0.004    0.000 {built-in method time.localtime}
      763    0.004    0.000    0.150    0.000 fromnumeric.py:3231(mean)
     1214    0.004    0.000    0.004    0.000 {method 'astype' of 'numpy.ndarray' objects}
      244    0.004    0.000    0.006    0.000 stride_tricks.py:39(as_strided)
      244    0.004    0.000    0.056    0.000 tnc.py:280(_minimize_tnc)
    28569    0.003    0.000    0.003    0.000 multiarray.py:635(result_type)
     1705    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      732    0.003    0.000    0.003    0.000 {built-in method numpy.frompyfunc}
      872    0.003    0.000    0.003    0.000 getlimits.py:497(__init__)
      872    0.003    0.000    0.006    0.000 functools.py:37(update_wrapper)
     1598    0.003    0.000    0.008    0.000 numerictypes.py:365(issubdtype)
      360    0.003    0.000    0.148    0.000 threading.py:534(wait)
      360    0.003    0.000    0.003    0.000 {built-in method time.strftime}
     3196    0.003    0.000    0.005    0.000 numerictypes.py:293(issubclass_)
      360    0.003    0.000    0.232    0.001 iostream.py:336(flush)
     1464    0.003    0.000    0.003    0.000 _internal.py:830(npy_ctypes_check)
      241    0.003    0.000    0.005    0.000 function_base.py:1141(diff)
     1801    0.003    0.000    0.006    0.000 threading.py:1092(is_alive)
      699    0.003    0.000    0.003    0.000 {built-in method _thread.allocate_lock}
      360    0.003    0.000    0.005    0.000 ntpath.py:178(split)
      244    0.003    0.000    0.018    0.000 function_base.py:4076(meshgrid)
      361    0.003    0.000    0.089    0.000 iostream.py:384(write)
      218    0.003    0.000    0.026    0.000 overlap.py:180(covariance)
      360    0.003    0.000    0.003    0.000 threading.py:216(__init__)
      436    0.002    0.000    0.006    0.000 _dtype.py:333(_name_get)
      360    0.002    0.000    0.006    0.000 __init__.py:1446(findCaller)
      732    0.002    0.000    0.006    0.000 function_base.py:2144(<listcomp>)
      488    0.002    0.000    0.093    0.000 fromnumeric.py:2092(sum)
      109    0.002    0.000    0.035    0.000 overlap.py:66(prepimage)
      244    0.002    0.000    0.012    0.000 index_tricks.py:636(__init__)
      360    0.002    0.000    0.235    0.001 __init__.py:1002(flush)
      360    0.002    0.000    0.340    0.001 __init__.py:1013(emit)
     1360    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1778    0.002    0.000    0.042    0.000 tnc.py:370(func_and_grad)
      360    0.002    0.000    0.345    0.001 __init__.py:1570(callHandlers)
    14128    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      488    0.002    0.000    2.248    0.005 fitpack2.py:273(__call__)
     2586    0.002    0.000    0.002    0.000 {method '__deepcopy__' of 'numpy.generic' objects}
     2586    0.002    0.000    0.002    0.000 copy.py:252(_keep_alive)
      732    0.002    0.000    0.002    0.000 function_base.py:2120(<listcomp>)
      360    0.002    0.000    0.009    0.000 __init__.py:528(formatTime)
      763    0.002    0.000    0.153    0.000 <__array_function__ internals>:2(mean)
      360    0.002    0.000    0.376    0.001 __init__.py:1368(info)
      241    0.002    0.000    0.003    0.000 function_base.py:3833(_quantile_is_valid)
      339    0.002    0.000    0.144    0.000 threading.py:264(wait)
      360    0.002    0.000    0.373    0.001 __init__.py:1491(_log)
     1708    0.002    0.000    0.003    0.000 {built-in method builtins.any}
      360    0.002    0.000    0.013    0.000 __init__.py:595(format)
      872    0.002    0.000    0.002    0.000 type_check.py:280(iscomplexobj)
      729    0.001    0.000    0.061    0.000 <__array_function__ internals>:2(linspace)
     6470    0.001    0.000    0.001    0.000 fromnumeric.py:2232(_any_dispatcher)
